,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,abha,18.2164,42.5053,75.85,26,26,11.1,SA,1650024072
1,marsh harbour,26.5412,-77.0636,75.29,81,26,8.23,BS,1650024277
2,shenjiamen,29.9576,122.298,55.81,75,100,17.22,CN,1650024277
3,altar,30.7,-111.8167,61.29,11,60,4.32,MX,1650024277
4,la esperanza,14.8667,-91.5667,55.53,88,63,3.24,GT,1650024278
5,hithadhoo,-0.6,73.0833,84.02,64,22,3.87,MV,1650024278
6,kodiak,57.79,-152.4072,38.71,87,100,16.11,US,1650024278
7,albany,42.6001,-73.9662,46.72,85,27,7.52,US,1650024043
8,bluff,-46.6,168.3333,59.81,69,99,20.47,NZ,1650024240
9,latung,5.5,120.8833,82.51,76,77,7.25,PH,1650024279
10,port elizabeth,-33.918,25.5701,66.31,66,99,11.99,ZA,1650024214
11,matagami,49.7502,-77.6328,30.7,83,31,9.33,CA,1650024280
12,ngunguru,-35.6167,174.5,59.41,68,33,3.47,NZ,1650024280
13,opuwo,-18.0607,13.84,85.06,29,4,5.21,NA,1650024280
14,esperance,-33.8667,121.9,61.54,75,1,11.77,AU,1650024281
15,airai,-8.9266,125.4092,62.89,95,99,2.57,TL,1650024281
16,barrow,71.2906,-156.7887,-5.78,77,0,17.27,US,1650024282
17,bastia,42.6667,9.3333,70.93,49,0,5.75,FR,1650024282
18,krasnoshchekovo,51.6708,82.7289,60.57,31,7,6.78,RU,1650024282
19,korem,12.5058,39.5228,74.34,30,10,10.63,ET,1650024283
20,agadez,19.75,10.25,104.94,5,14,12.15,NE,1650024283
21,mataura,-46.1927,168.8643,59.49,61,66,10.54,NZ,1650024283
22,chokurdakh,70.6333,147.9167,9.9,96,100,5.73,RU,1650024283
23,saldanha,-33.0117,17.9442,63.1,57,0,30.76,ZA,1650024284
24,bozdar,27.1828,68.636,109.26,2,0,5.91,PK,1650024284
25,garwa,24.1833,83.8167,104.77,7,77,11.86,IN,1650024284
26,rodrigues alves,-7.738,-72.6509,71.94,98,99,2.21,BR,1650024285
27,sitka,57.0531,-135.33,30.09,69,0,3.44,US,1650024285
28,karratha,-20.7377,116.8463,85.95,68,37,8.55,AU,1650024285
29,tilichiki,60.4667,166.1,10.63,97,93,5.28,RU,1650024286
30,severo-kurilsk,50.6789,156.125,24.94,84,20,6.42,RU,1650024286
31,sakakah,29.9697,40.2064,80.35,12,0,7.29,SA,1650024286
32,hermanus,-34.4187,19.2345,65.8,50,35,19.73,ZA,1650024286
33,ushuaia,-54.8,-68.3,35.22,95,43,5.79,AR,1650024287
34,orebro,59.2741,15.2066,52.59,35,0,11.5,SE,1650024287
35,nome,64.5011,-165.4064,38.16,65,40,26.46,US,1650024287
36,kaupanger,61.1845,7.2404,43.09,98,73,0.43,NO,1650024288
37,butaritari,3.0707,172.7902,81.18,71,100,4.38,KI,1650024288
38,leningradskiy,69.3833,178.4167,17.38,96,100,10.69,RU,1650024288
39,bethel,41.3712,-73.414,54.01,60,0,0.0,US,1650024288
40,rikitea,-23.1203,-134.9692,77.7,69,3,15.43,PF,1650024289
41,port alfred,-33.5906,26.891,60.19,94,99,5.01,ZA,1650024289
42,mokhsogollokh,61.4681,128.9203,24.3,99,100,2.73,RU,1650024289
43,dukat,62.55,155.55,4.89,98,100,3.51,RU,1650024290
44,kapaa,22.0752,-159.319,71.92,81,20,14.97,US,1650024290
45,high rock,26.6208,-78.2833,77.02,76,78,5.75,BS,1650024290
46,high level,58.5169,-117.136,4.59,99,60,2.37,CA,1650024291
47,ortakoy,38.7373,34.0387,55.65,39,16,6.87,TR,1650024291
48,punta arenas,-53.15,-70.9167,41.11,93,20,4.61,CL,1650024291
49,valley city,46.9233,-98.0032,10.92,92,0,19.57,US,1650024292
50,tasiilaq,65.6145,-37.6368,33.96,99,100,7.09,GL,1650024292
51,kalmunai,7.4167,81.8167,84.74,77,49,12.39,LK,1650024293
52,northam,51.0333,-4.2167,61.66,79,65,8.05,GB,1650024293
53,denpasar,-8.65,115.2167,82.06,83,75,9.22,ID,1650024249
54,arraial do cabo,-22.9661,-42.0278,76.86,57,40,13.8,BR,1650024293
55,tual,-5.6667,132.75,84.43,72,88,5.17,ID,1650024294
56,chuy,-33.6971,-53.4616,64.44,71,84,8.23,UY,1650024294
57,vanimo,-2.6741,141.3028,79.68,86,30,4.52,PG,1650024294
58,emerald,-23.5333,148.1667,69.35,43,0,11.07,AU,1650024294
59,ancud,-41.8697,-73.8203,50.23,92,49,1.92,CL,1650024295
60,castro,-24.7911,-50.0119,55.8,72,58,4.05,BR,1650024017
61,busselton,-33.65,115.3333,61.63,84,0,9.55,AU,1650024295
62,cape town,-33.9258,18.4232,70.11,46,8,18.01,ZA,1650024021
63,hobart,-42.8794,147.3294,56.01,76,75,14.97,AU,1650024296
64,chapais,49.7834,-74.8492,31.71,81,24,8.41,CA,1650024296
65,jumla,29.2747,82.1838,61.79,32,77,5.64,NP,1650024297
66,guerrero negro,27.9769,-114.0611,58.12,79,82,13.6,MX,1650024297
67,vaini,-21.2,-175.2,78.96,89,40,5.75,TO,1650024298
68,smithers,54.7804,-127.1743,26.26,75,98,1.14,CA,1650024298
69,cidreira,-30.1811,-50.2056,61.18,78,58,12.3,BR,1650024299
70,flinders,-34.5833,150.8552,64.26,82,95,3.0,AU,1650024299
71,sao felix do xingu,-6.6447,-51.995,79.16,80,97,1.59,BR,1650024299
72,new norfolk,-42.7826,147.0587,55.65,69,60,1.63,AU,1650024300
73,bambari,5.768,20.6757,93.52,38,80,5.82,CF,1650024031
74,husavik,66.0449,-17.3389,46.27,73,83,14.14,IS,1650024300
75,pevek,69.7008,170.3133,10.22,87,33,2.21,RU,1650024301
76,dauphin,51.1494,-100.0502,14.14,73,100,16.11,CA,1650024301
77,bredasdorp,-34.5322,20.0403,62.37,39,85,14.67,ZA,1650024301
78,hobyo,5.3505,48.5268,86.47,59,77,11.48,SO,1650024302
79,thunder bay,48.4001,-89.3168,20.52,86,95,11.36,CA,1650024205
80,camacupa,-12.0167,17.4833,72.16,76,100,3.44,AO,1650024302
81,oranjemund,-28.55,16.4333,62.29,67,2,26.11,NA,1650024303
82,kota tinggi,1.7381,103.8999,86.04,87,100,2.35,MY,1650024253
83,nerchinskiy zavod,51.3088,119.61,39.09,53,100,14.14,RU,1650024303
84,pangody,65.85,74.4859,29.77,83,52,15.66,RU,1650024304
85,atuona,-9.8,-139.0333,78.42,78,25,14.0,PF,1650024304
86,tefe,-3.3542,-64.7114,73.51,100,40,0.0,BR,1650024304
87,salalah,17.0151,54.0924,86.76,48,2,10.31,OM,1650024079
88,callaway,30.153,-85.5699,62.96,73,0,6.91,US,1650024305
89,vila franca do campo,37.7167,-25.4333,64.81,76,54,12.66,PT,1650024305
90,goundam,16.4145,-3.6708,101.88,6,83,3.87,ML,1650024305
91,iqaluit,63.7506,-68.5145,-5.31,70,4,15.99,CA,1650024306
92,saint george,37.1041,-113.5841,48.79,28,0,4.61,US,1650024307
93,hilo,19.7297,-155.09,72.28,87,100,6.91,US,1650024308
94,victoria,22.2855,114.1577,75.33,76,8,17.0,HK,1650024241
95,port-cartier,50.0334,-66.8654,35.82,99,100,6.4,CA,1650024308
96,galesong,-5.3166,119.3661,78.82,79,63,4.97,ID,1650024309
97,mount isa,-20.7333,139.5,80.37,29,21,5.75,AU,1650024309
98,isangel,-19.55,169.2667,79.09,85,82,9.01,VU,1650024309
99,souillac,-20.5167,57.5167,80.98,74,40,12.66,MU,1650024118
100,tierralta,8.1736,-76.0592,77.79,91,99,4.18,CO,1650024310
101,kollam,8.8833,76.6,84.92,70,22,8.46,IN,1650024273
102,gamba,-2.65,10.0,85.08,67,100,3.8,GA,1650024245
103,tuktoyaktuk,69.4541,-133.0374,-15.54,100,99,3.02,CA,1650024311
104,bengkulu,-3.8004,102.2655,78.96,83,68,1.19,ID,1650024311
105,carnarvon,-24.8667,113.6333,78.87,69,80,9.22,AU,1650024312
106,the valley,18.217,-63.0578,79.11,73,12,20.27,AI,1650024313
107,mogadishu,2.0371,45.3438,85.05,68,100,11.34,SO,1650024177
108,puerto ayora,-0.7393,-90.3518,74.98,91,67,6.55,EC,1650024313
109,san jose,37.3394,-121.895,54.28,85,100,9.22,US,1650024032
110,chimoio,-19.1164,33.4833,82.29,62,52,3.78,MZ,1650024190
111,east london,-33.0153,27.9116,63.3,78,100,20.02,ZA,1650024314
112,berlevag,70.8578,29.0864,37.4,86,61,11.32,NO,1650024314
113,pauini,-7.7136,-66.9764,72.82,99,100,2.19,BR,1650024315
114,alofi,-19.0595,-169.9187,81.27,74,12,10.38,NU,1650024315
115,ilulissat,69.2167,-51.1,10.42,61,75,8.05,GL,1650024316
116,vila,42.0304,-8.1588,65.7,55,3,2.51,PT,1650024061
117,yellowknife,62.456,-114.3525,3.56,84,99,8.99,CA,1650024316
118,cori,41.6444,12.9128,75.09,49,100,4.0,IT,1650024316
119,cabo san lucas,22.8909,-109.9124,70.52,58,99,8.03,MX,1650024317
120,ponta do sol,32.6667,-17.1,71.71,83,30,5.12,PT,1650024317
121,chifeng,42.2683,118.9636,49.68,18,0,7.11,CN,1650024318
122,lorengau,-2.0226,147.2712,81.9,78,59,5.26,PG,1650024318
123,saskylakh,71.9167,114.0833,-12.35,100,34,0.69,RU,1650024052
124,iseyin,7.9667,3.6,92.7,43,86,4.7,NG,1650024318
125,siavonga,-16.5382,28.7088,86.99,52,20,5.41,ZM,1650024319
126,kohlu,29.8962,69.252,90.68,4,0,15.05,PK,1650024319
127,dikson,73.5069,80.5464,25.52,95,100,18.7,RU,1650024319
128,kostomuksha,64.571,30.5767,35.67,65,64,9.86,RU,1650024320
129,mar del plata,-38.0023,-57.5575,55.87,83,0,3.0,AR,1650024180
130,sorland,67.667,12.6934,38.05,69,100,5.88,NO,1650024038
131,abu kamal,34.4506,40.9171,76.75,10,35,12.55,SY,1650024320
132,thompson,55.7435,-97.8558,8.58,78,100,12.53,CA,1650024321
133,fortuna,40.5982,-124.1573,35.65,95,100,6.91,US,1650024321
134,ruidoso,33.3317,-105.673,56.05,11,0,23.02,US,1650024321
135,georgetown,5.4112,100.3354,85.95,74,20,3.44,MY,1650024322
136,hasaki,35.7333,140.8333,48.6,88,100,30.87,JP,1650024322
137,narsaq,60.9167,-46.05,28.62,78,97,6.35,GL,1650024322
138,upernavik,72.7868,-56.1549,-13.74,97,84,10.31,GL,1650024322
139,aklavik,68.2191,-135.0107,-16.87,99,99,3.62,CA,1650024323
140,oktyabrskoye,43.0645,44.7417,57.34,47,75,6.71,RU,1650024323
141,constitucion,-35.3333,-72.4167,54.01,82,82,4.81,CL,1650024279
142,deputatskiy,69.3,139.9,-1.7,91,100,2.84,RU,1650024324
143,elko,41.0002,-115.5012,35.62,86,99,11.01,US,1650024324
144,eyl,7.9803,49.8164,88.65,60,50,14.74,SO,1650024324
145,port hawkesbury,45.6169,-61.3485,37.9,97,100,4.0,CA,1650024325
146,socha,5.9976,-72.6928,54.86,79,100,2.68,CO,1650024325
147,namibe,-15.1961,12.1522,78.8,65,94,11.39,AO,1650024325
148,yarmouth,41.7057,-70.2286,48.67,94,75,8.05,US,1650024326
149,mount gambier,-37.8333,140.7667,62.51,100,100,4.61,AU,1650024326
150,san andres,12.5847,-81.7006,80.62,78,40,13.8,CO,1650024326
151,urdoma,61.7533,48.5442,34.54,70,100,9.06,RU,1650024327
152,bera,24.0833,89.6167,100.06,17,9,7.14,BD,1650024327
153,vaitape,-16.5167,-151.75,81.05,74,13,17.0,PF,1650024327
154,bathsheba,13.2167,-59.5167,77.61,88,75,13.8,BB,1650024328
155,pangnirtung,66.1451,-65.7125,0.09,87,17,1.5,CA,1650024328
156,muroto,33.2833,134.15,61.54,83,82,12.28,JP,1650024328
157,aguadulce,8.25,-80.55,78.71,76,100,4.32,PA,1650024328
158,longyearbyen,78.2186,15.6401,26.44,74,75,6.91,SJ,1650024329
159,endicott,42.0984,-76.0494,47.53,60,0,5.75,US,1650024329
160,cockburn town,21.4612,-71.1419,77.16,78,13,22.35,TC,1650024330
161,cap malheureux,-19.9842,57.6142,82.47,72,4,11.99,MU,1650024330
162,qaanaaq,77.484,-69.3632,-2.9,93,100,3.67,GL,1650024330
163,mahebourg,-20.4081,57.7,82.26,74,40,12.66,MU,1650024086
164,luderitz,-26.6481,15.1594,72.41,43,29,29.33,NA,1650024331
165,porto velho,-8.7619,-63.9039,75.25,94,75,2.3,BR,1650024324
166,ostrovnoy,68.0531,39.5131,31.8,84,70,9.89,RU,1650024332
167,koslan,63.4564,48.8989,31.73,70,100,9.75,RU,1650024332
168,belmonte,-15.8631,-38.8828,84.29,76,84,13.06,BR,1650024333
169,torbay,47.6666,-52.7314,35.89,72,88,3.0,CA,1650024333
170,xai-xai,-25.0519,33.6442,91.87,51,82,2.77,MZ,1650024333
171,vozhega,60.4725,40.2213,40.6,68,82,3.87,RU,1650024334
172,bilibino,68.0546,166.4372,8.15,92,34,5.3,RU,1650024334
173,daru,-9.0763,143.2092,81.05,86,100,10.87,PG,1650024335
174,polunochnoye,60.8697,60.4153,30.81,96,100,5.88,RU,1650024335
175,ushtobe,45.2514,77.9838,74.19,12,0,17.6,KZ,1650024335
176,bavleny,56.4,39.56,47.39,53,73,3.98,RU,1650024335
177,provideniya,64.3833,-173.3,32.32,93,100,17.27,RU,1650024336
178,nikolskoye,59.7035,30.7861,42.69,94,100,6.71,RU,1650024337
179,lavrentiya,65.5833,-171.0,26.38,92,93,14.85,RU,1650024337
180,faanui,-16.4833,-151.75,81.03,74,12,17.02,PF,1650024165
181,ambam,2.3833,11.2833,85.26,52,90,1.54,CM,1650024338
182,kropotkin,45.4375,40.5756,54.21,74,95,10.67,RU,1650024338
183,pueblo nuevo,23.3833,-105.3833,48.49,37,91,6.38,MX,1650024338
184,lompoc,34.6391,-120.4579,50.72,90,0,23.0,US,1650024339
185,sibu,2.3,111.8167,76.64,94,84,2.68,MY,1650024339
186,talnakh,69.4865,88.3972,32.56,98,100,18.81,RU,1650024339
187,esmeralda,21.8525,-78.1169,74.19,86,3,7.43,CU,1650024339
188,kirakira,-10.4544,161.9205,79.56,83,16,4.21,SB,1650024340
189,kaitangata,-46.2817,169.8464,51.44,74,46,6.53,NZ,1650024340
190,batagay-alyta,67.8006,130.4114,-0.04,98,40,5.79,RU,1650024341
191,macaubas,-13.0194,-42.6986,81.0,59,66,3.42,BR,1650024342
192,dickinson,29.4608,-95.0513,71.94,94,100,13.8,US,1650024342
193,puerto madryn,-42.7692,-65.0385,61.68,42,0,23.69,AR,1650024342
194,klaksvik,62.2266,-6.589,50.92,99,100,13.44,FO,1650024343
195,tabou,4.423,-7.3528,85.26,67,99,6.96,CI,1650024344
196,grand-santi,4.25,-54.3833,73.81,97,100,1.54,GF,1650024344
197,kargasok,59.0556,80.8572,43.93,100,98,2.3,RU,1650024345
198,vao,-22.6667,167.4833,71.96,90,100,16.42,NC,1650024346
199,iki-burul,45.8208,44.6472,50.9,78,99,13.87,RU,1650024346
200,gizo,-8.103,156.8419,81.55,77,100,10.0,SB,1650024346
201,ixtapa,20.7,-105.2,68.23,94,40,0.0,MX,1650024347
202,iralaya,15.0,-83.2333,78.46,79,81,8.88,HN,1650024347
203,mezen,65.8522,44.24,32.79,65,90,8.21,RU,1650024348
204,jinka,5.65,36.65,78.13,51,96,1.5,ET,1650024348
205,avarua,-21.2078,-159.775,73.45,100,52,2.3,CK,1650024348
206,schio,45.7124,11.3574,77.56,39,39,5.99,IT,1650024348
207,richards bay,-28.783,32.0377,78.22,70,4,13.51,ZA,1650024348
208,vardo,70.3705,31.1107,33.93,70,57,7.76,NO,1650024349
209,khatanga,71.9667,102.5,11.88,86,98,12.21,RU,1650024349
210,ballina,-28.8667,153.5667,64.58,99,50,10.76,AU,1650024349
211,kurilsk,45.2333,147.8833,31.6,87,100,4.56,RU,1650024350
212,beyneu,45.3167,55.2,67.24,22,45,9.26,KZ,1650024350
213,barquisimeto,10.0739,-69.3228,75.83,78,100,0.0,VE,1650024351
214,bouna,9.2667,-3.0,94.73,36,100,5.12,CI,1650024351
215,mandera,3.9366,41.867,96.08,33,100,6.17,KE,1650024351
216,maceio,-9.6658,-35.7353,83.64,69,75,11.5,BR,1650024227
217,geraldton,-28.7667,114.6,70.21,88,1,6.91,AU,1650024124
218,jamestown,42.097,-79.2353,47.52,41,0,10.0,US,1650024352
219,adrar,20.5022,-10.0711,88.79,12,0,2.19,MR,1650024352
220,panzhihua,26.5851,101.7128,79.21,34,60,7.43,CN,1650024349
221,kavieng,-2.5744,150.7967,82.81,76,85,9.8,PG,1650024353
222,sweetwater,25.7634,-80.3731,78.03,91,20,8.05,US,1650024354
223,norsup,-16.0667,167.3833,80.26,80,67,0.94,VU,1650024354
224,half moon bay,37.4636,-122.4286,53.29,85,100,10.36,US,1650024354
225,sao filipe,14.8961,-24.4956,72.86,72,3,8.72,CV,1650024355
226,sabha,27.0377,14.4283,91.11,10,0,12.24,LY,1650024355
227,beringovskiy,63.05,179.3167,32.0,98,100,20.65,RU,1650024355
228,port hardy,50.6996,-127.4199,35.47,69,50,3.36,CA,1650024356
229,mackenzie,55.2999,-123.1698,17.01,81,100,4.52,CA,1650024073
230,dunedin,-45.8742,170.5036,54.81,82,36,7.0,NZ,1650024223
231,korla,41.7597,86.1469,67.21,9,3,17.43,CN,1650024356
232,hovd,48.0056,91.6419,37.92,25,2,1.86,MN,1650024357
233,mormugao,15.4,73.8,84.87,68,94,9.1,IN,1650024357
234,cozumel,20.5083,-86.9458,74.95,92,56,9.75,MX,1650024357
235,meulaboh,4.1363,96.1285,80.96,81,75,2.8,ID,1650024358
236,tifton,31.4505,-83.5085,58.93,63,0,3.44,US,1650024358
237,severnyy,50.677,36.5532,60.84,25,0,6.71,RU,1650024359
238,west bay,19.3667,-81.4167,80.01,86,2,1.01,KY,1650024359
239,natal,-5.795,-35.2094,86.65,74,75,5.75,BR,1650024360
240,pisco,-13.7,-76.2167,59.05,88,6,1.14,PE,1650024360
241,westerland,54.9079,8.3033,50.02,71,75,9.22,DE,1650024279
242,goderich,43.7501,-81.7165,43.92,72,61,18.32,CA,1650024361
243,nanortalik,60.1432,-45.2371,25.56,72,100,15.3,GL,1650024361
244,gayeri,12.6497,0.4931,101.44,25,81,9.98,BF,1650024362
245,barcs,45.96,17.4586,68.9,49,42,14.88,HU,1650024320
246,nynashamn,58.9034,17.9479,49.1,61,21,12.15,SE,1650024363
247,rorvik,64.8621,11.2373,41.7,57,38,5.44,NO,1650024363
248,livanatai,38.7167,23.05,71.76,42,43,4.25,GR,1650024307
249,killybegs,54.6333,-8.45,56.91,92,89,7.87,IE,1650024363
250,yulara,-25.2406,130.9889,85.84,28,75,6.91,AU,1650024364
251,jonkoping,57.7814,14.1562,50.38,70,44,16.11,SE,1650024289
252,hambantota,6.1241,81.1185,86.34,84,40,10.36,LK,1650024364
253,le mars,42.7942,-96.1656,27.91,59,75,11.5,US,1650024364
254,necochea,-38.5473,-58.7368,52.77,67,0,10.02,AR,1650024365
255,grindavik,63.8424,-22.4338,46.87,93,100,31.07,IS,1650024365
256,taywarah,33.35,64.4167,63.81,9,33,6.85,AF,1650024365
257,naze,28.3667,129.4833,65.14,83,80,21.07,JP,1650024365
258,madaoua,14.073,5.96,101.34,25,59,12.73,NE,1650024366
259,gambo,4.6482,22.2633,88.21,48,96,5.35,CF,1650024366
260,ayan,56.45,138.1667,23.31,87,63,3.76,RU,1650024366
261,aguimes,27.9054,-15.4461,70.66,56,20,27.63,ES,1650024367
262,noumea,-22.2763,166.4572,66.18,86,98,5.14,NC,1650024213
263,mtwara,-10.2667,40.1833,84.56,76,56,11.21,TZ,1650024300
264,lufilufi,-13.8745,-171.5986,83.19,76,19,14.94,WS,1650024368
265,regina,50.4501,-104.6178,13.03,79,100,12.66,CA,1650024233
266,progreso,21.2833,-89.6667,74.1,91,87,11.27,MX,1650024368
267,nishihara,26.1842,127.7558,71.65,88,100,24.16,JP,1650024368
268,egvekinot,66.3167,-179.1667,19.69,87,87,18.34,RU,1650024369
269,broceni,56.7,22.5333,42.8,72,99,14.18,LV,1650024369
270,banepa,27.6298,85.5214,79.12,21,20,10.36,NP,1650024370
271,balgazyn,51.0,95.2,44.1,44,0,2.95,RU,1650024370
272,piacabucu,-10.4056,-36.4344,85.95,61,7,12.06,BR,1650024371
273,bilma,18.6853,12.9164,106.18,5,40,16.62,NE,1650024372
274,lakes entrance,-37.8811,147.981,62.74,71,100,1.68,AU,1650024372
275,metro,-5.1131,105.3067,78.35,83,99,2.84,ID,1650024372
276,tucumcari,35.1717,-103.725,42.64,17,0,8.05,US,1650024373
